name,source,kcal_tersimpan,kcal_atwater,rasio,protein,carbs,fat
santan kelapa saja,indo_nutrition,324.0,547.9,1.69,4.2,55.6,34.3
sapi abon,indo_nutrition,212.0,404.6,1.91,18.0,59.3,10.6
sate bakso sajiku,dapur_umami,87.3,163.4,1.87,5.4,23.3,5.4
sayur asem sajiku,dapur_umami,25.5,108.0,4.24,4.0,14.0,4.0
seafood kriuk sajiku,dapur_umami,172.8,403.0,2.33,19.5,56.5,11.0
sempol ayam pedas,dapur_umami,140.6,268.6,1.91,6.5,26.9,15.0
sosis mayo panggang mayumi,dapur_umami,239.3,110.4,0.46,21.2,0.1,2.8
soto madura,dapur_umami,139.0,9665.2,69.53,2394.8,3.5,8.0
srikaya,indo_nutrition,101.0,153.0,1.51,1.7,35.2,0.6
stick ayam sayur,dapur_umami,60.1,136.0,2.26,3.8,19.4,4.8
sup ceria masako,dapur_umami,134.5,61.9,0.46,5.8,6.3,1.5
sup pakcoi ayam,dapur_umami,102.5,230.0,2.24,34.0,10.0,6.0
tahu cabai garam,dapur_umami,155.5,370.1,2.38,12.3,59.3,9.3
tahu isi sajiku,dapur_umami,120.5,271.6,2.25,6.8,36.8,10.8
telur crispy,dapur_umami,214.5,442.2,2.06,14.0,58.3,17.0
telur krispi,dapur_umami,566.0,1455.5,2.57,29.5,232.0,45.5
tumis batang brokoli,dapur_umami,60.0,97.5,1.62,3.0,9.0,5.5
ubi jalar goreng,indo_nutrition,160.0,247.7,1.55,3.7,55.3,1.3
ubi jalar rebus,indo_nutrition,114.0,194.4,1.71,1.4,25.6,9.6
udang renyah cabai rawit sajiku,dapur_umami,149.5,263.9,1.77,15.8,31.5,8.3
umbi uwi segar,indo_nutrition,120.0,344.9,2.87,2.8,82.3,0.5
white wine 5 oz glass,daily_nutrition,121.0,15.6,0.13,0.1,3.8,0.0
yamin ayam saori,dapur_umami,305.2,132.3,0.43,11.3,6.7,6.7
